branch	runtime	fixture	blocks_poked	failed_pokes	init_time_s	total_poke_time_s	avg_per_block_ms	throughput_blocks_s	checkpoints	samples	gc_events	fault_bursts	peak_rss_mib	p95_rss_mib	gc_per_1k_blocks	wall_clock	max_rss_kb	exit_status
current	native	v0_first1000	1000	0	2.82	41.12	41.12	24.32	0	81	0	1	1138.29	1138.29	0.00	0:44.16	1162156	0
current	native	v1_first1000	1000	0	2.75	40.04	40.04	24.98	0	80	0	1	1138.01	1138.01	0.00	0:43.02	1162088	0
current	native	v2_first1000	1000	0	2.74	40.14	40.14	24.91	0	80	0	1	1137.60	1137.60	0.00	0:43.10	1162412	0
current	docker	v0_first1000	1000	0	3.27	43.46	43.46	23.01	0	86	0	0	1138.31	1138.31	0.00	0:47.52	31204	0
current	docker	v1_first1000	1000	0	2.45	41.04	41.04	24.37	0	81	0	0	1138.14	1138.14	0.00	0:44.56	30804	0
current	docker	v2_first1000	1000	0	2.43	40.30	40.30	24.81	0	80	0	0	1138.02	1138.02	0.00	0:44.31	30268	0
streaming	native	v0_first1000	1000	0	3.28	103.34	103.34	9.68	0	199	0	1	1272.63	1272.63	0.00	1:47.01	1300332	0
streaming	native	v1_first1000	1000	0	3.31	102.47	102.47	9.76	0	197	0	1	1272.71	1272.71	0.00	1:46.16	1299432	0
streaming	native	v2_first1000	1000	0	3.32	102.80	102.80	9.73	0	198	0	1	1271.84	1271.84	0.00	1:46.51	1299896	0
streaming	docker	v0_first1000	1000	0	3.28	101.20	101.20	9.88	0	191	0	0	1272.64	1272.64	0.00	1:45.20	29756	0
streaming	docker	v1_first1000	1000	0	3.26	101.10	101.10	9.89	0	193	0	0	1272.61	1272.61	0.00	1:44.91	29520	0
streaming	docker	v2_first1000	1000	0	2.87	98.54	98.54	10.15	0	178	0	0	1271.81	1271.81	0.00	1:41.97	30228	0
btree	native	v0_first1000	1000	0	3.17	96.32	96.32	10.38	0	173	0	1	1272.45	1272.45	0.00	1:39.80	1299912	0
btree	native	v1_first1000	1000	0	3.01	95.49	95.49	10.47	0	172	0	1	1272.69	1272.69	0.00	1:38.83	1300960	0
btree	native	v2_first1000	1000	0	2.96	94.21	94.21	10.61	0	169	0	1	1271.63	1271.63	0.00	1:37.51	1300392	0
btree	docker	v0_first1000	1000	0	2.97	94.40	94.40	10.59	0	170	0	0	1272.67	1272.67	0.00	1:38.05	30968	0
btree	docker	v1_first1000	1000	0	2.86	95.97	95.97	10.42	0	171	0	0	1272.64	1272.64	0.00	1:39.39	30504	0
btree	docker	v2_first1000	1000	0	2.91	97.13	97.13	10.30	0	172	0	0	1271.78	1271.78	0.00	1:40.59	29824	0
